ID	Parent ID	Name	Sort Order	Budgeted	IsDebitIncrease
***	***	********************	***	*	*
1	0	Assets	1	0	1
2	0	Liabilities	2	0	0
3	0	Equity	3	0	0
4	0	Income	4	0	0
5	0	Expenses	5	0	1
6	7	Clothing	22	0	
7	5	House	72		
8	22	Restaurants/Social	31	1	
9	5	Tuition	71	0	
10	39	Entertainment	60	0	
11	30	Fees	51	1	
12	30	Gifts	56	0	
13	22	Groceries	30	1	
14	30	Medical Professionals	55	0	
15	39	Hobbies	61	0	
16	5	Home Repairs or Mn Fee	12	1	
17	7	Household	20	0	
18	5	Insurance	9	1	
19	5	Loan	70	0	
20	30	Miscellaneous	57	1	
21	5	Rent/Mortgage	10	1	
22	5	Food	73		
23	5	Transport	74		
24	28	Phone	21	1	
25	30	Subscriptions/Memberships	54	1	
26	5	Taxes	8	1	
27	39	Travel	63	0	
28	5	Utilities	11	1	
29	4	Income/Interest	3	1	
30	5	Personal	75		
31	4	Not an Expense	4	1	
32	4	Other Income	2	1	
33	4	Wages & Salary	1	1	
34	5	Tithe	1	1	
35	23	Gas	40	1	
36	23	Car Upkeep/Repairs/Oil	41	0	
37	30	School Supplies	52	0	
38	30	Textbooks	53	0	
39	5	Recreation	76		
40	1	Cash	2		
41	1	Checking	3		
42	1	Savings	1	1	
43	2	Bank Card	1		
44	2	Discover	2		
45	5	Missions	2	1	
46	23	Car Replacement	42	0	
47	7	Laundry	23	1	
48	7	Medications	25	0	
49	30	Blow Money	58	1	
50	39	Vacation	62	0	
51	30	Hair Care	50	1	
52	5	Giving	4	0	
53	23	License/Registration	44	0	
54	7	Shoes	24	0	
55	42	Giving Fund	6		
56	42	Car Oil Fund	7		
57	42	Car Upkeep Fund	8		
58	42	Mission Fund	3	0	
59	42	Emergency Fund	5	0	
60	42	Car Battery Fund	9		
61	22	Meetings	32	1	
62	42	Car License Fund	10		
63	23	Car Insurance	43	1	
64	42	Car Replacement Fund	11		
65	42	Shoes Replacement Fund	12		
66	42	Textbooks Fund	13		
67	42	Gifts Fund	14		
68	42	Hobbies Fund	15		
69	42	Vacation Fund	16		
70	42	Travel Home Fund	17		
71	28	Electricity	22		
72	28	Internet	23		
